"GEO_ID","NAME","B99283_001E","B99283_002E","B99283_003E","B99283_004E","B99283_005E"
"id","Geographic Area Name","Estimate!!Total","Estimate!!Total!!Allocated!!Dial-up","Estimate!!Total!!Allocated!!Broadband such as cable, fiberoptic, or DSL, satellite, and other service","Estimate!!Total!!Allocated!!Cellular data plan","Estimate!!Total!!Not allocated"
"1400000US41005022000","Census Tract 220, Clackamas County, Oregon","2452","48","48","337","2115"
"1400000US41005023100","Census Tract 231, Clackamas County, Oregon","2356","49","49","375","1970"
"1400000US41005023300","Census Tract 233, Clackamas County, Oregon","1850","81","81","380","1450"
"1400000US41005020501","Census Tract 205.01, Clackamas County, Oregon","2735","73","73","555","2180"
"1400000US41005020700","Census Tract 207, Clackamas County, Oregon","1467","44","44","231","1236"
"1400000US41005022500","Census Tract 225, Clackamas County, Oregon","2983","198","198","437","2518"
"1400000US41005023401","Census Tract 234.01, Clackamas County, Oregon","1804","31","31","299","1496"
"1400000US41041951800","Census Tract 9518, Lincoln County, Oregon","1516","30","30","94","1409"
"1400000US41041951700","Census Tract 9517, Lincoln County, Oregon","908","24","24","64","832"
"1400000US41041950400","Census Tract 9504, Lincoln County, Oregon","1745","26","26","267","1470"
"1400000US41041950800","Census Tract 9508, Lincoln County, Oregon","1636","47","47","299","1320"
"1400000US41041950100","Census Tract 9501, Lincoln County, Oregon","1357","26","26","143","1214"
"1400000US41041951100","Census Tract 9511, Lincoln County, Oregon","777","11","11","109","662"
"1400000US41041951600","Census Tract 9516, Lincoln County, Oregon","1532","5","5","84","1448"
"1400000US41041950900","Census Tract 9509, Lincoln County, Oregon","1502","57","57","224","1250"
"1400000US41041951000","Census Tract 9510, Lincoln County, Oregon","891","37","37","98","793"
"1400000US41041951200","Census Tract 9512, Lincoln County, Oregon","1009","8","8","142","867"
"1400000US41041951400","Census Tract 9514, Lincoln County, Oregon","1172","34","34","119","1041"
"1400000US41041951500","Census Tract 9515, Lincoln County, Oregon","1316","14","14","192","1124"
"1400000US41041951300","Census Tract 9513, Lincoln County, Oregon","1007","31","31","126","870"
"1400000US41003000500","Census Tract 5, Benton County, Oregon","1384","20","20","240","1135"
"1400000US41003000900","Census Tract 9, Benton County, Oregon","2432","48","48","310","2122"
"1400000US41003001002","Census Tract 10.02, Benton County, Oregon","1312","9","9","65","1247"
"1400000US41003001001","Census Tract 10.01, Benton County, Oregon","1727","72","72","181","1546"
"1400000US41003001102","Census Tract 11.02, Benton County, Oregon","1778","27","27","223","1555"
"1400000US41003010400","Census Tract 104, Benton County, Oregon","1491","65","65","178","1310"
"1400000US41003010100","Census Tract 101, Benton County, Oregon","3427","66","66","488","2939"
"1400000US41003000400","Census Tract 4, Benton County, Oregon","3313","26","26","432","2881"
"1400000US41003000100","Census Tract 1, Benton County, Oregon","3208","11","11","218","2990"
"1400000US41067030805","Census Tract 308.05, Washington County, Oregon","1767","31","31","295","1457"
"1400000US41067030806","Census Tract 308.06, Washington County, Oregon","1083","44","44","96","971"
"1400000US41067031513","Census Tract 315.13, Washington County, Oregon","4121","138","138","749","3344"
"1400000US41067031514","Census Tract 315.14, Washington County, Oregon","2703","77","77","370","2297"
