"GEO_ID","NAME","B28005_001E","B28005_001M","B28005_002E","B28005_002M","B28005_003E","B28005_003M","B28005_004E","B28005_004M","B28005_005E","B28005_005M","B28005_006E","B28005_006M","B28005_007E","B28005_007M","B28005_008E","B28005_008M","B28005_009E","B28005_009M","B28005_010E","B28005_010M","B28005_011E","B28005_011M","B28005_012E","B28005_012M","B28005_013E","B28005_013M","B28005_014E","B28005_014M","B28005_015E","B28005_015M","B28005_016E","B28005_016M","B28005_017E","B28005_017M","B28005_018E","B28005_018M","B28005_019E","B28005_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under 18 years","Margin of Error!!Total!!Under 18 years","Estimate!!Total!!Under 18 years!!Has a computer","Margin of Error!!Total!!Under 18 years!!Has a computer","Estimate!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Under 18 years!!No computer","Margin of Error!!Total!!Under 18 years!!No computer","Estimate!!Total!!18 to 64 years","Margin of Error!!Total!!18 to 64 years","Estimate!!Total!!18 to 64 years!!Has a computer","Margin of Error!!Total!!18 to 64 years!!Has a computer","Estimate!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!18 to 64 years!!No computer","Margin of Error!!Total!!18 to 64 years!!No computer","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over","Estimate!!Total!!65 years and over!!Has a computer","Margin of Error!!Total!!65 years and over!!Has a computer","Estimate!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Estimate!!Total!!65 years and over!!No computer","Margin of Error!!Total!!65 years and over!!No computer"
"1400000US41039003900","Census Tract 39, Lane County, Oregon","3208","383","104","50","104","50","0","12","84","53","20","27","0","12","2601","387","2561","390","0","12","1884","345","677","296","40","29","503","101","315","89","0","12","254","75","61","42","188","94"
"1400000US41039000100","Census Tract 1, Lane County, Oregon","5328","379","666","163","666","163","0","17","655","163","11","17","0","17","2940","306","2815","324","11","18","2652","337","152","82","125","109","1722","222","1632","238","46","69","1372","234","214","160","90","54"
"1400000US41039000500","Census Tract 5, Lane County, Oregon","1983","144","299","63","297","62","13","16","249","64","35","24","2","5","1118","112","997","125","28","20","904","126","65","33","121","50","566","62","488","64","8","8","452","66","28","15","78","30"
"1400000US41039000800","Census Tract 8, Lane County, Oregon","1578","182","261","86","250","86","5","9","150","51","95","98","11","12","890","107","867","107","18","22","710","131","139","93","23","23","427","80","383","86","29","26","342","85","12","12","44","30"
"1400000US41039001903","Census Tract 19.03, Lane County, Oregon","3125","292","859","207","825","213","0","12","825","213","0","12","34","51","2013","203","1958","198","0","12","1840","214","118","86","55","50","253","50","209","46","0","12","178","50","31","30","44","31"
"1400000US41039003101","Census Tract 31.01, Lane County, Oregon","6073","397","1314","203","1314","203","0","17","1170","232","144","137","0","17","3608","330","3558","329","12","19","3441","335","105","79","50","56","1151","159","985","172","0","17","893","177","92","73","166","100"
"1400000US41039004000","Census Tract 40, Lane County, Oregon","2338","197","166","66","160","67","0","12","141","62","19","27","6","10","1643","179","1556","183","0","12","1409","188","147","85","87","56","529","82","385","95","9","14","338","91","38","30","144","69"
"1400000US41039004401","Census Tract 44.01, Lane County, Oregon","5632","464","1170","250","1170","250","0","17","1136","253","34","55","0","17","3578","318","3559","322","20","32","3398","337","141","123","19","31","884","187","600","158","0","17","579","156","21","33","284","144"
"1400000US41039000200","Census Tract 2, Lane County, Oregon","5506","365","927","218","920","217","0","17","882","212","38","44","7","11","3246","254","3137","269","18","20","2854","296","265","125","109","57","1333","121","1235","123","0","17","1091","128","144","69","98","55"
"1400000US41039002600","Census Tract 26, Lane County, Oregon","5904","394","1217","159","1217","159","0","17","1093","164","124","123","0","17","3809","343","3784","345","24","37","3302","447","458","306","25","33","878","152","702","170","20","31","498","171","184","130","176","110"
"1400000US41039000403","Census Tract 4.03, Lane County, Oregon","5543","523","1159","439","1137","438","0","17","1102","443","35","38","22","31","3641","426","3459","437","38","61","3263","451","158","111","182","128","743","206","531","154","50","59","405","120","76","77","212","134"
"1400000US41039000904","Census Tract 9.04, Lane County, Oregon","3240","296","697","130","671","130","0","12","625","140","46","53","26","37","1934","213","1822","213","17","27","1713","216","92","70","112","98","609","144","538","144","10","16","466","148","62","65","71","35"
"1400000US41039002002","Census Tract 20.02, Lane County, Oregon","5162","363","945","196","945","196","0","17","819","207","126","108","0","17","3142","348","3070","351","24","39","2551","356","495","258","72","67","1075","133","865","184","24","40","729","174","112","102","210","138"
"1400000US41039002403","Census Tract 24.03, Lane County, Oregon","3934","234","642","132","642","132","0","12","551","132","91","69","0","12","2337","165","2284","181","0","12","2148","197","136","78","53","53","955","79","868","104","19","19","772","109","77","61","87","62"
"1400000US41045970300","Census Tract 9703, Malheur County, Oregon","3958","453","1032","306","873","273","0","12","681","211","192","142","159","197","2137","252","2004","273","0","12","1617","259","387","146","133","103","789","109","576","117","25","28","482","111","69","51","213","80"
"1400000US41045970400","Census Tract 9704, Malheur County, Oregon","4822","363","1470","286","1335","312","0","12","1063","299","272","185","135","134","2916","258","2493","311","0","12","2029","289","464","187","423","203","436","83","290","75","13","21","271","75","6","10","146","70"
"1400000US41047010702","Census Tract 107.02, Marion County, Oregon","6945","567","1689","215","1658","211","0","17","1569","229","89","86","31","35","3670","357","3585","348","0","17","3387","354","198","99","85","54","1586","241","1367","240","5","8","1238","247","124","57","219","80"
"1400000US41047010801","Census Tract 108.01, Marion County, Oregon","6223","523","1680","252","1660","267","0","17","1409","332","251","250","20","42","3396","388","3267","428","0","17","2888","363","379","260","129","99","1147","210","1047","224","0","17","1047","224","0","17","100","77"
"1400000US41047010802","Census Tract 108.02, Marion County, Oregon","7130","674","2003","459","1987","459","0","17","1914","464","73","84","16","26","4089","351","3956","363","0","17","3650","385","306","198","133","84","1038","201","916","196","9","13","824","192","83","76","122","76"
"1400000US41047001801","Census Tract 18.01, Marion County, Oregon","6328","589","1659","333","1552","382","0","17","1412","373","140","194","107","119","3708","531","3386","561","0","17","3211","603","175","164","322","225","961","212","696","188","0","17","657","186","39","47","265","162"
"1400000US41029000300","Census Tract 3, Jackson County, Oregon","6126","578","1518","316","1435","334","0","17","1136","307","299","190","83","128","3875","374","3557","388","0","17","3074","412","483","308","318","164","733","148","615","150","35","44","528","149","52","39","118","68"
"1400000US41029000202","Census Tract 2.02, Jackson County, Oregon","3770","503","911","244","911","244","0","12","866","255","45","75","0","12","2380","388","2272","394","0","12","2109","446","163","139","108","82","479","127","355","117","0","12","317","117","38","40","124","103"
"1400000US41029001700","Census Tract 17, Jackson County, Oregon","7345","278","1616","287","1562","284","0","17","1188","257","374","317","54","85","4226","324","3906","386","0","17","3195","484","711","322","320","258","1503","214","1350","208","34","52","1254","215","62","75","153","102"
"1400000US41029001900","Census Tract 19, Jackson County, Oregon","2267","310","253","102","253","102","0","12","216","100","37","30","0","12","1728","257","1700","255","0","12","1625","254","75","35","28","28","286","63","235","70","0","12","235","70","0","12","51","30"
