"GEO_ID","NAME","B28008_001E","B28008_001M","B28008_002E","B28008_002M","B28008_003E","B28008_003M","B28008_004E","B28008_004M","B28008_005E","B28008_005M","B28008_006E","B28008_006M","B28008_007E","B28008_007M","B28008_008E","B28008_008M","B28008_009E","B28008_009M","B28008_010E","B28008_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband subscription","Margin of Error!!Total!!Has a computer!!With a broadband subscription","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!With a cellular data plan","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!With a cellular data plan","Estimate!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!Without a cellular data plan","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!With a fixed broadband Internet subscription!!Without a cellular data plan","Estimate!!Total!!Has a computer!!With a broadband subscription!!Cellular data plan alone or with dial-up","Margin of Error!!Total!!Has a computer!!With a broadband subscription!!Cellular data plan alone or with dial-up","Estimate!!Total!!Has a computer!!Without Internet subscription","Margin of Error!!Total!!Has a computer!!Without Internet subscription","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"1400000US41039002001","Census Tract 20.01, Lane County, Oregon","3278","231","2774","302","0","12","2761","304","2570","314","1713","306","857","223","191","104","13","20","504","247"
"1400000US41071030501","Census Tract 305.01, Yamhill County, Oregon","4881","444","4534","486","65","73","4172","474","3845","427","2861","442","984","341","327","216","297","139","347","136"
"1400000US41071030702","Census Tract 307.02, Yamhill County, Oregon","7347","594","6995","633","0","17","6044","579","5481","702","3409","581","2072","529","563","354","951","455","352","176"
"1400000US41071031000","Census Tract 310, Yamhill County, Oregon","4140","402","3947","402","78","79","3435","352","2559","379","1909","343","650","225","876","351","434","269","193","124"
"1400000US41071030201","Census Tract 302.01, Yamhill County, Oregon","5415","574","5233","577","37","62","4641","689","4457","672","3717","672","740","307","184","174","555","364","182","104"
"1400000US41005020403","Census Tract 204.03, Clackamas County, Oregon","3623","213","3596","208","0","12","3523","216","3442","219","2801","295","641","204","81","55","73","63","27","25"
"1400000US41005020404","Census Tract 204.04, Clackamas County, Oregon","3743","178","3705","182","0","12","3676","188","3466","243","2691","252","775","293","210","128","29","39","38","35"
"1400000US41005020504","Census Tract 205.04, Clackamas County, Oregon","6543","407","6504","413","24","38","6227","400","6109","412","4890","576","1219","402","118","89","253","172","39","45"
"1400000US41005020505","Census Tract 205.05, Clackamas County, Oregon","2495","157","2368","161","33","42","2279","173","2249","175","1543","276","706","243","30","49","56","39","127","63"
"1400000US41005022105","Census Tract 221.05, Clackamas County, Oregon","6440","444","6349","453","14","24","6103","458","5586","570","3825","634","1761","602","517","426","232","188","91","98"
"1400000US41005022107","Census Tract 221.07, Clackamas County, Oregon","4434","336","4297","362","0","12","3962","391","3696","401","2512","450","1184","372","266","159","335","213","137","78"
"1400000US41005022108","Census Tract 221.08, Clackamas County, Oregon","3236","271","3112","282","46","49","2815","301","2423","348","1770","361","653","228","392","215","251","158","124","76"
"1400000US41005022205","Census Tract 222.05, Clackamas County, Oregon","3792","293","3783","291","10","16","3668","307","3610","303","2995","404","615","243","58","59","105","65","9","15"
"1400000US41005022206","Census Tract 222.06, Clackamas County, Oregon","6898","372","6711","402","0","17","6680","408","6353","395","5083","502","1270","376","327","214","31","38","187","121"
"1400000US41005022207","Census Tract 222.07, Clackamas County, Oregon","6565","411","6565","411","0","17","6409","417","6067","463","4926","592","1141","332","342","207","156","131","0","17"
"1400000US41005022208","Census Tract 222.08, Clackamas County, Oregon","7361","415","7306","422","22","33","6970","426","6533","552","5279","597","1254","362","437","317","314","260","55","68"
"1400000US41005022301","Census Tract 223.01, Clackamas County, Oregon","4267","324","4137","325","0","12","3916","345","3685","345","2482","366","1203","366","231","147","221","155","130","85"
"1400000US41005022302","Census Tract 223.02, Clackamas County, Oregon","5878","431","5767","432","0","17","5619","451","4913","570","3313","569","1600","501","706","423","148","121","111","87"
"1400000US41005022603","Census Tract 226.03, Clackamas County, Oregon","4054","361","3954","379","61","97","3765","377","3483","401","2847","425","636","214","282","201","128","167","100","75"
"1400000US41005022605","Census Tract 226.05, Clackamas County, Oregon","7651","673","7470","699","110","148","7296","706","6882","734","5099","933","1783","583","414","277","64","52","181","122"
"1400000US41005022710","Census Tract 227.10, Clackamas County, Oregon","2734","253","2687","264","0","12","2539","286","2489","288","1870","272","619","238","50","30","148","84","47","34"
"1400000US41005022606","Census Tract 226.06, Clackamas County, Oregon","5065","321","4935","321","0","17","4634","418","4348","441","3310","492","1038","277","286","144","301","287","130","119"
"1400000US41005022707","Census Tract 227.07, Clackamas County, Oregon","6049","313","5998","314","0","17","5592","372","4917","550","3866","577","1051","323","675","466","406","173","51","37"
"1400000US41005022708","Census Tract 227.08, Clackamas County, Oregon","4310","282","4164","293","0","12","3775","397","3399","355","2571","336","828","300","376","196","389","317","146","66"
"1400000US41005022904","Census Tract 229.04, Clackamas County, Oregon","3657","239","3538","265","27","44","3236","286","2543","468","1589","294","954","410","693","441","275","165","119","66"
"1400000US41005022905","Census Tract 229.05, Clackamas County, Oregon","4467","231","4319","254","23","31","4200","257","3791","303","3052","378","739","285","409","182","96","72","148","158"
"1400000US41005022906","Census Tract 229.06, Clackamas County, Oregon","3002","269","2761","245","0","12","2609","238","2293","286","1426","284","867","245","316","190","152","112","241","189"
"1400000US41005022907","Census Tract 229.07, Clackamas County, Oregon","4303","294","4010","321","52","57","3544","390","3011","385","2157","349","854","336","533","289","414","267","293","180"
"1400000US41005023001","Census Tract 230.01, Clackamas County, Oregon","3390","295","3297","294","0","12","3024","370","2875","386","2218","387","657","192","149","77","273","200","93","70"
"1400000US41005023002","Census Tract 230.02, Clackamas County, Oregon","3977","410","3897","417","0","12","3727","433","3136","443","1932","336","1204","427","591","348","170","139","80","63"
"1400000US41005023403","Census Tract 234.03, Clackamas County, Oregon","5643","393","5597","393","10","16","5353","433","5103","485","3177","580","1926","432","250","188","234","167","46","42"
"1400000US41005023404","Census Tract 234.04, Clackamas County, Oregon","5966","342","5666","375","29","46","5417","422","5056","460","4180","529","876","379","361","266","220","179","300","125"
"1400000US41005023901","Census Tract 239.01, Clackamas County, Oregon","5358","349","5142","375","27","34","4685","435","4392","460","3238","521","1154","346","293","214","430","265","216","123"
"1400000US41005023902","Census Tract 239.02, Clackamas County, Oregon","5525","516","5172","526","0","17","4453","505","3993","471","2634","546","1359","349","460","247","719","373","353","193"
"1400000US41005024303","Census Tract 243.03, Clackamas County, Oregon","2865","485","2721","480","41","47","2491","475","2491","475","1602","292","889","432","0","12","189","142","144","81"
"1400000US41005024304","Census Tract 243.04, Clackamas County, Oregon","2262","342","2126","338","28","44","2014","330","1696","311","1367","367","329","164","318","208","84","67","136","88"
"1400000US41005980000","Census Tract 9800, Clackamas County, Oregon","22","14","22","14","4","7","18","12","18","12","12","9","6","8","0","12","0","12","0","12"
"1400000US41071030400","Census Tract 304, Yamhill County, Oregon","8091","637","7661","669","174","178","6748","754","5348","682","3999","694","1349","345","1400","432","739","341","430","173"
"1400000US41071030701","Census Tract 307.01, Yamhill County, Oregon","8446","481","8209","481","78","74","7228","695","6398","535","4880","677","1518","416","830","521","903","609","237","102"
"1400000US41071030801","Census Tract 308.01, Yamhill County, Oregon","5311","485","4835","549","0","17","4266","648","3361","635","2372","604","989","399","905","499","569","292","476","232"
"1400000US41071030502","Census Tract 305.02, Yamhill County, Oregon","4824","479","4483","467","27","32","3937","487","3253","455","1996","414","1257","347","684","240","519","231","341","101"
"1400000US41071030802","Census Tract 308.02, Yamhill County, Oregon","3914","336","3611","373","0","17","3199","365","2623","418","1797","392","826","312","576","309","412","264","303","185"
"1400000US41071030900","Census Tract 309, Yamhill County, Oregon","4829","368","4629","355","8","13","4175","350","3434","441","2602","466","832","255","741","242","446","195","200","128"
"1400000US41071030202","Census Tract 302.02, Yamhill County, Oregon","5654","558","5428","558","0","17","4823","689","4004","715","2992","686","1012","324","819","544","605","437","226","162"
"1400000US41001950300","Census Tract 9503, Baker County, Oregon","2419","191","2146","201","15","16","1943","220","1704","214","1078","194","626","200","239","133","188","72","273","93"
"1400000US41001950100","Census Tract 9501, Baker County, Oregon","2806","202","2607","205","32","22","2020","231","1603","204","933","166","670","169","417","175","555","178","199","67"
"1400000US41001950400","Census Tract 9504, Baker County, Oregon","2634","191","2354","189","10","15","2100","196","1876","215","1075","239","801","204","224","131","244","121","280","102"
"1400000US41001950600","Census Tract 9506, Baker County, Oregon","1949","200","1782","193","7","10","1521","211","1331","208","773","188","558","136","190","82","254","122","167","64"
"1400000US41001950200","Census Tract 9502, Baker County, Oregon","3435","248","3019","232","0","12","2764","263","2307","253","1322","294","985","254","457","207","255","133","416","163"
"1400000US41001950500","Census Tract 9505, Baker County, Oregon","2166","203","1990","200","0","12","1751","217","1470","197","1002","228","468","165","281","121","239","116","176","87"
"1400000US41033361100","Census Tract 3611, Josephine County, Oregon","9258","505","8394","538","27","43","7982","554","7197","644","4491","569","2706","609","785","459","385","253","864","347"
"1400000US41033361300","Census Tract 3613, Josephine County, Oregon","7318","566","6994","580","30","50","6178","650","5136","760","3288","710","1848","561","1042","425","786","451","324","184"
"1400000US41033361400","Census Tract 3614, Josephine County, Oregon","2874","324","2444","403","63","57","2017","320","1778","343","1250","378","528","207","239","186","364","275","430","209"
"1400000US41033360701","Census Tract 3607.01, Josephine County, Oregon","4287","298","4077","298","15","23","3443","434","3065","441","1629","453","1436","404","378","208","619","316","210","82"
"1400000US41033360300","Census Tract 3603, Josephine County, Oregon","5716","423","5486","436","85","81","5163","464","4696","579","2739","536","1957","487","467","289","238","146","230","137"
"1400000US41033360400","Census Tract 3604, Josephine County, Oregon","4636","451","4390","445","91","93","4244","457","3378","423","1977","395","1401","389","866","372","55","45","246","95"
"1400000US41047010503","Census Tract 105.03, Marion County, Oregon","4306","409","4072","421","26","41","3408","453","3104","403","2184","372","920","279","304","257","638","429","234","139"
"1400000US41047010701","Census Tract 107.01, Marion County, Oregon","8237","218","7964","248","0","17","7464","375","6608","576","4053","779","2555","735","856","483","500","289","273","139"
"1400000US41047001503","Census Tract 15.03, Marion County, Oregon","4715","362","4407","365","44","64","3947","358","2881","510","2263","524","618","232","1066","471","416","209","308","134"
"1400000US41047001601","Census Tract 16.01, Marion County, Oregon","8097","600","7487","574","0","17","7035","562","5702","530","4334","595","1368","455","1333","582","452","378","610","417"
"1400000US41033361200","Census Tract 3612, Josephine County, Oregon","7270","524","6378","618","81","92","5913","662","5428","599","3753","766","1675","515","485","229","384","237","892","402"
"1400000US41033360100","Census Tract 3601, Josephine County, Oregon","2089","249","1847","278","12","19","1649","285","1445","276","587","173","858","255","204","115","186","99","242","138"
"1400000US41033360900","Census Tract 3609, Josephine County, Oregon","2637","303","2393","335","0","12","2122","322","1611","333","868","340","743","272","511","202","271","201","244","175"
"1400000US41033360600","Census Tract 3606, Josephine County, Oregon","5926","474","5506","508","0","17","4893","481","4475","466","2850","536","1625","490","418","277","613","281","420","195"
"1400000US41033360702","Census Tract 3607.02, Josephine County, Oregon","5726","471","5122","534","0","17","4867","552","4466","587","2803","546","1663","522","401","315","255","164","604","305"
"1400000US41033361000","Census Tract 3610, Josephine County, Oregon","5138","368","4775","402","12","20","4489","391","4198","435","2698","565","1500","421","291","184","274","196","363","146"
