"GEO_ID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer"
"1400000US41005022907","Census Tract 229.07, Clackamas County, Oregon","1492","80","1349","115","40","49","1131","130","178","109","143","70"
"1400000US41005023001","Census Tract 230.01, Clackamas County, Oregon","1251","70","1196","77","0","12","1082","92","114","71","55","39"
"1400000US41005023002","Census Tract 230.02, Clackamas County, Oregon","1440","59","1370","78","0","12","1291","84","79","60","70","56"
"1400000US41005023403","Census Tract 234.03, Clackamas County, Oregon","1973","119","1927","122","5","7","1795","133","127","87","46","42"
"1400000US41005023404","Census Tract 234.04, Clackamas County, Oregon","2332","144","2108","152","15","23","1988","159","105","64","224","91"
"1400000US41005023901","Census Tract 239.01, Clackamas County, Oregon","1855","119","1714","120","18","22","1554","135","142","82","141","71"
"1400000US41005023902","Census Tract 239.02, Clackamas County, Oregon","1892","137","1690","153","0","17","1424","166","266","119","202","90"
"1400000US41005024303","Census Tract 243.03, Clackamas County, Oregon","1164","152","1087","154","20","23","960","145","107","73","77","39"
"1400000US41005024304","Census Tract 243.04, Clackamas County, Oregon","984","132","880","136","28","44","789","117","63","52","104","77"
"1400000US41005980000","Census Tract 9800, Clackamas County, Oregon","22","14","22","14","4","7","18","12","0","12","0","12"
"1400000US41071030400","Census Tract 304, Yamhill County, Oregon","2882","172","2646","189","37","33","2292","221","317","131","236","98"
"1400000US41071030701","Census Tract 307.01, Yamhill County, Oregon","3376","169","3217","170","47","42","2893","201","277","136","159","73"
"1400000US41071030801","Census Tract 308.01, Yamhill County, Oregon","2175","155","1876","188","0","17","1568","211","308","137","299","117"
"1400000US41071030502","Census Tract 305.02, Yamhill County, Oregon","1786","173","1539","161","17","18","1290","151","232","77","247","76"
"1400000US41071030802","Census Tract 308.02, Yamhill County, Oregon","1286","101","1119","131","0","17","956","125","163","93","167","79"
"1400000US41071030900","Census Tract 309, Yamhill County, Oregon","1413","105","1312","97","8","13","1132","94","172","77","101","49"
"1400000US41071030202","Census Tract 302.02, Yamhill County, Oregon","2208","208","2075","199","0","17","1807","241","268","158","133","86"
"1400000US41001950300","Census Tract 9503, Baker County, Oregon","1122","96","943","100","12","15","794","103","137","58","179","60"
"1400000US41001950100","Census Tract 9501, Baker County, Oregon","1255","98","1118","98","26","19","877","94","215","60","137","43"
"1400000US41001950400","Census Tract 9504, Baker County, Oregon","1231","120","1005","104","6","8","852","101","147","62","226","86"
"1400000US41001950600","Census Tract 9506, Baker County, Oregon","925","95","812","98","7","10","680","83","125","57","113","44"
"1400000US41001950200","Census Tract 9502, Baker County, Oregon","1422","110","1202","105","0","12","1040","106","162","83","220","82"
"1400000US41001950500","Census Tract 9505, Baker County, Oregon","972","102","858","100","0","12","724","96","134","70","114","52"
"1400000US41033361100","Census Tract 3611, Josephine County, Oregon","4007","178","3457","235","14","22","3267","242","176","97","550","178"
"1400000US41033361300","Census Tract 3613, Josephine County, Oregon","3059","205","2863","212","16","26","2522","238","325","135","196","105"
"1400000US41033361400","Census Tract 3614, Josephine County, Oregon","1205","102","956","135","37","31","820","121","99","69","249","112"
"1400000US41033360701","Census Tract 3607.01, Josephine County, Oregon","1763","121","1563","126","7","12","1303","146","253","112","200","77"
"1400000US41033360300","Census Tract 3603, Josephine County, Oregon","2359","128","2187","148","51","48","1980","147","156","101","172","104"
"1400000US41033360400","Census Tract 3604, Josephine County, Oregon","1875","129","1734","123","46","46","1643","125","45","37","141","46"
"1400000US41047010503","Census Tract 105.03, Marion County, Oregon","1469","104","1290","120","11","17","1105","143","174","90","179","84"
"1400000US41047010701","Census Tract 107.01, Marion County, Oregon","2923","231","2708","226","0","17","2504","230","204","96","215","114"
"1400000US41047001503","Census Tract 15.03, Marion County, Oregon","1739","98","1557","116","10","15","1393","127","154","72","182","72"
"1400000US41047001601","Census Tract 16.01, Marion County, Oregon","2715","162","2445","177","0","17","2284","183","161","98","270","147"
"1400000US41033361200","Census Tract 3612, Josephine County, Oregon","2905","170","2457","207","48","49","2206","222","203","106","448","186"
"1400000US41033360100","Census Tract 3601, Josephine County, Oregon","899","79","738","89","6","9","640","86","92","44","161","74"
"1400000US41033360900","Census Tract 3609, Josephine County, Oregon","1186","140","1057","133","0","12","924","124","133","74","129","78"
"1400000US41033360600","Census Tract 3606, Josephine County, Oregon","2596","162","2252","196","0","17","1941","186","311","133","344","149"
"1400000US41033360702","Census Tract 3607.02, Josephine County, Oregon","2661","175","2289","211","0","17","2110","209","179","108","372","153"
"1400000US41033361000","Census Tract 3610, Josephine County, Oregon","2090","136","1824","134","6","10","1665","116","153","102","266","115"
"1400000US41033361500","Census Tract 3615, Josephine County, Oregon","1097","106","879","122","30","27","805","126","44","32","218","106"
"1400000US41033361600","Census Tract 3616, Josephine County, Oregon","3610","293","3099","343","27","28","2674","347","398","155","511","164"
"1400000US41033360800","Census Tract 3608, Josephine County, Oregon","2219","206","2009","216","0","17","1784","215","225","157","210","112"
"1400000US41033360500","Census Tract 3605, Josephine County, Oregon","2447","166","2230","178","43","43","1769","205","418","192","217","120"
"1400000US41035970200","Census Tract 9702, Klamath County, Oregon","2188","218","1773","217","37","34","1339","214","397","130","415","150"
"1400000US41035970800","Census Tract 9708, Klamath County, Oregon","944","65","873","64","8","12","823","71","42","28","71","28"
"1400000US41035971600","Census Tract 9716, Klamath County, Oregon","1514","94","1217","111","0","12","1055","120","162","75","297","99"
"1400000US41035971200","Census Tract 9712, Klamath County, Oregon","1006","83","803","87","0","12","649","92","154","80","203","87"
"1400000US41035971300","Census Tract 9713, Klamath County, Oregon","2157","190","1966","199","0","17","1752","207","214","104","191","82"
"1400000US41035970600","Census Tract 9706, Klamath County, Oregon","579","60","487","68","0","12","416","65","71","45","92","42"
"1400000US41035970900","Census Tract 9709, Klamath County, Oregon","1800","119","1661","127","10","16","1541","131","110","70","139","58"
