"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan","Estimate!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access"
"1400000US41067030806","Census Tract 308.06, Washington County, Oregon","1083","50","961","77","0","12","961","77","745","91","117","62","818","89","187","67","66","33","16","23","0","12","29","32","93","58"
"1400000US41067031513","Census Tract 315.13, Washington County, Oregon","4121","137","4049","156","18","29","4031","158","3324","206","41","37","3972","159","615","161","160","68","0","19","18","28","15","23","57","48"
"1400000US41067031514","Census Tract 315.14, Washington County, Oregon","2703","132","2444","161","0","17","2444","161","1847","196","132","60","2294","158","578","136","55","57","0","17","0","17","190","96","69","46"
"1400000US41067031617","Census Tract 316.17, Washington County, Oregon","2428","136","2199","147","0","17","2199","147","1754","199","181","103","2018","149","436","147","26","30","0","17","0","17","184","131","45","45"
"1400000US41067031614","Census Tract 316.14, Washington County, Oregon","1832","75","1734","91","0","17","1734","91","1413","129","107","47","1572","98","287","103","75","52","29","40","0","17","71","45","27","24"
"1400000US41067031615","Census Tract 316.15, Washington County, Oregon","1735","59","1533","91","0","17","1533","91","1104","128","111","67","1387","110","392","100","103","59","0","17","10","16","46","42","156","66"
"1400000US41067031616","Census Tract 316.16, Washington County, Oregon","1770","87","1422","124","0","12","1422","124","1102","128","79","64","1299","122","312","87","58","39","8","13","0","12","155","78","193","73"
"1400000US41067031812","Census Tract 318.12, Washington County, Oregon","2571","160","2396","181","0","17","2396","181","1751","222","206","92","2143","204","630","163","42","43","0","17","0","17","124","99","51","46"
"1400000US41067031813","Census Tract 318.13, Washington County, Oregon","2146","138","1991","158","15","24","1976","157","1623","189","147","83","1814","185","341","127","0","17","0","17","0","17","70","73","85","80"
"1400000US41067031814","Census Tract 318.14, Washington County, Oregon","1328","65","1266","65","7","12","1259","66","981","86","28","26","1198","68","278","83","61","35","0","12","0","12","20","22","42","44"
"1400000US41067031815","Census Tract 318.15, Washington County, Oregon","2608","116","2463","147","0","17","2463","147","1886","184","187","107","2257","184","558","159","113","71","19","31","0","17","13","20","132","92"
"1400000US41067031907","Census Tract 319.07, Washington County, Oregon","2929","220","2439","210","26","31","2413","210","1615","201","133","60","2210","219","752","182","144","77","11","19","0","17","64","48","426","121"
"1400000US41067031908","Census Tract 319.08, Washington County, Oregon","2627","111","2564","119","0","17","2564","119","2097","164","73","54","2459","123","436","132","181","104","15","23","0","17","17","28","46","42"
"1400000US41067031909","Census Tract 319.09, Washington County, Oregon","1686","32","1616","58","0","17","1616","58","1311","102","35","31","1554","64","305","92","53","39","0","17","0","17","43","43","27","24"
"1400000US41067031910","Census Tract 319.10, Washington County, Oregon","3232","159","3120","170","0","17","3120","170","2487","230","123","92","2889","193","616","168","128","74","0","17","17","28","23","29","89","64"
"1400000US41067031911","Census Tract 319.11, Washington County, Oregon","2167","66","2051","95","13","20","2038","100","1413","151","119","78","1874","129","611","124","35","32","0","17","0","17","72","53","44","38"
