"GEO_ID","id",
"S2802_C03_015M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Less than high school graduate or equivalency",
"S2802_C03_016E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
"S2802_C03_016M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!High school graduate (includes equivalency), some college or associate's degree",
"S2802_C03_017E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher",
"S2802_C03_017M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EDUCATIONAL ATTAINMENT!!Household population 25 years and over!!Bachelor's degree or higher",
"S2802_C03_018E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over",
"S2802_C03_018M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over",
"S2802_C03_019E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force",
"S2802_C03_019M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force",
"S2802_C03_020E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Employed",
"S2802_C03_020M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Employed",
"S2802_C03_021E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed",
"S2802_C03_021M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!In labor force!!Unemployed",
"S2802_C03_022E","Estimate!!With a computer!!Percent Broadband Internet Subscription!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!Not in labor force",
"S2802_C03_022M","Margin of Error!!With a computer!!Percent Broadband Internet Subscription MOE!!Total population in households!!EMPLOYMENT STATUS!!Civilian population 16 years and over!!Not in labor force",
"S2802_C04_001E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households",
"S2802_C04_001M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households",
"S2802_C04_002E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!AGE!!Under 18 years",
"S2802_C04_002M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!AGE!!Under 18 years",
"S2802_C04_003E","Estimate!!With a computer!!Without an Internet Subscription!!Total population in households!!AGE!!18 to 64 years",
"S2802_C04_003M","Margin of Error!!With a computer!!Without an Internet Subscription MOE!!Total population in households!!AGE!!18 to 64 years",
